Species,Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Age
Chinstrap penguin (Pygoscelis antarctica),Dream,46.7,17.9,195,3300,FEMALE,5118
Chinstrap penguin (Pygoscelis antarctica),Dream,52,19,197,4150,MALE,5118
Chinstrap penguin (Pygoscelis antarctica),Dream,50.5,18.4,200,3400,FEMALE,4755
Chinstrap penguin (Pygoscelis antarctica),Dream,49.5,19,200,3800,MALE,4755
Chinstrap penguin (Pygoscelis antarctica),Dream,46.4,17.8,191,3700,FEMALE,4766
Chinstrap penguin (Pygoscelis antarctica),Dream,52.8,20,205,4550,MALE,4766
Chinstrap penguin (Pygoscelis antarctica),Dream,40.9,16.6,187,3200,FEMALE,4756
Chinstrap penguin (Pygoscelis antarctica),Dream,54.2,20.8,201,4300,MALE,4756
Chinstrap penguin (Pygoscelis antarctica),Dream,42.5,16.7,187,3350,FEMALE,4756
Chinstrap penguin (Pygoscelis antarctica),Dream,51,18.8,203,4100,MALE,4756
Chinstrap penguin (Pygoscelis antarctica),Dream,49.7,18.6,195,3600,MALE,4755
Chinstrap penguin (Pygoscelis antarctica),Dream,47.5,16.8,199,3900,FEMALE,4755
Chinstrap penguin (Pygoscelis antarctica),Dream,47.6,18.3,195,3850,FEMALE,4766
Chinstrap penguin (Pygoscelis antarctica),Dream,52,20.7,210,4800,MALE,4766
Chinstrap penguin (Pygoscelis antarctica),Dream,46.9,16.6,192,2700,FEMALE,4756
Chinstrap penguin (Pygoscelis antarctica),Dream,53.5,19.9,205,4500,MALE,4756
Chinstrap penguin (Pygoscelis antarctica),Dream,49,19.5,210,3950,MALE,4756
Chinstrap penguin (Pygoscelis antarctica),Dream,46.2,17.5,187,3650,FEMALE,4756
Chinstrap penguin (Pygoscelis antarctica),Dream,50.9,19.1,196,3550,MALE,4766
Chinstrap penguin (Pygoscelis antarctica),Dream,45.5,17,196,3500,FEMALE,4766
Chinstrap penguin (Pygoscelis antarctica),Dream,50.9,17.9,196,3675,FEMALE,4398
Chinstrap penguin (Pygoscelis antarctica),Dream,50.8,18.5,201,4450,MALE,4398
Chinstrap penguin (Pygoscelis antarctica),Dream,50.1,17.9,190,3400,FEMALE,4388
Chinstrap penguin (Pygoscelis antarctica),Dream,49,19.6,212,4300,MALE,4388
Chinstrap penguin (Pygoscelis antarctica),Dream,51.5,18.7,187,3250,MALE,4392
Chinstrap penguin (Pygoscelis antarctica),Dream,49.8,17.3,198,3675,FEMALE,4392
Chinstrap penguin (Pygoscelis antarctica),Dream,48.1,16.4,199,3325,FEMALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,51.4,19,201,3950,MALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,45.7,17.3,193,3600,FEMALE,4392
Chinstrap penguin (Pygoscelis antarctica),Dream,50.7,19.7,203,4050,MALE,4392
Chinstrap penguin (Pygoscelis antarctica),Dream,42.5,17.3,187,3350,FEMALE,4388
Chinstrap penguin (Pygoscelis antarctica),Dream,52.2,18.8,197,3450,MALE,4388
Chinstrap penguin (Pygoscelis antarctica),Dream,45.2,16.6,191,3250,FEMALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,49.3,19.9,203,4050,MALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,50.2,18.8,202,3800,MALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,45.6,19.4,194,3525,FEMALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,51.9,19.5,206,3950,MALE,4388
Chinstrap penguin (Pygoscelis antarctica),Dream,46.8,16.5,189,3650,FEMALE,4388
Chinstrap penguin (Pygoscelis antarctica),Dream,45.7,17,195,3650,FEMALE,4396
Chinstrap penguin (Pygoscelis antarctica),Dream,55.8,19.8,207,4000,MALE,4396
Chinstrap penguin (Pygoscelis antarctica),Dream,43.5,18.1,202,3400,FEMALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,49.6,18.2,193,3775,MALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,50.8,19,210,4100,MALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,50.2,18.7,198,3775,FEMALE,4394
